"country","league","season","start_time","start_time_unix","score","team1","team2","bookmaker","odd_type","odd","odd_time","odd_time_unix","retrieved_from_url"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","1","1.6","18 Jun 09:27 2018","1529314020","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","1","1.62","18 Jun 09:21 2018","1529313660","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","1","1.65","15 Jun 09:46 2018","1529055960","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","X","3.7","18 Jun 19:57 2018","1529351820","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","X","3.75","18 Jun 10:45 2018","1529318700","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","X","3.7","18 Jun 09:39 2018","1529314740","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","X","3.6","18 Jun 09:27 2018","1529314020","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","X","3.55","18 Jun 09:21 2018","1529313660","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","X","3.6","15 Jun 09:46 2018","1529055960","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","2","4.75","18 Jun 19:57 2018","1529351820","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
